Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Horimiya T16 Edition limitée,15.53,,978-2384962587,https://m.media-amazon.com/images/I/717TKJHr-HL._SY522_.jpg,Nobi Nobi; Illustrated - Unnumbered copies édition (15 mai 2024),HERO
A Tender Heart T06: Comment je suis devenue la servante du Duc,6.13,"Alors qu'elle n'était qu'une simple lectrice, suite à un voeu, une jeune femme se retrouve transportée dans l'univers de l'un de ses romans favoris. Elle n'a plus qu'un objectif : voler au secours de son personnage préféré, Liandro, jeune duc frappé d'une malédiction et rejeté par sa famille. Sous les traits d'Evelina, sa servante et confidente, notre héroïne va tout faire pour changer à jamais l'histoire originale !",978-2382882856,https://m.media-amazon.com/images/I/91uJSmpE6+L._SY522_.jpg,Kbooks; Illustrated édition (15 mai 2024),Aloha
The Abandoned Empress T07,14.95,"Depuis sa naissance, Aristia a été élevée dans un seul but : devenir la compagne de l'empereur, l'aimer et l'assister. Mais tout s'effondre lorsqu'une jeune fille venue d'un autre monde apparaît et lui vole sa place. Aristia devient le souffre-douleur de l'empereur... jusqu'à être condamnée à mort. Elle se retrouve alors sept ans dans le passé ! Et si le destin lui avait donné une seconde chance ?",978-2382882986,https://m.media-amazon.com/images/I/81pljD-hDAL._SY522_.jpg,Kbooks; Illustrated édition (22 mai 2024),Ina
"Father, I don't Want this Marriage T02",13.04,"Après sa rupture avec le seigneur Mikhail, Juvelian pensait avoir déjoué sa funeste destinée. Hélas, elle découvre avec effroi les plans de son père pour la marier ! Et il semblerait que son choix se soit porté sur le tyrannique et sanguinaire prince héritier, Maximilian...
Toujours aussi déterminée à écrire son propre destin, elle compte contrarier les plans du duc Floyen pendant que la haute société, friande de commérages, se demande qui est son amant secret.
Après tout, quoi de mieux que de s’afficher au bras d’un autre pour éviter des fiançailles ?",978-2811688851,https://m.media-amazon.com/images/I/81xJDpf3-vL._SY522_.jpg,Pika; Illustrated édition (15 mai 2024),Yuri
A Sign of Affection - Tome 9 (VF),7.92,"A Sign of Affection décrit avec pudeur et simplicité l'histoire d'amour entre une jeune femme sourde et un grand voyageur. À n'en pas douter, les personnages de ce manga ne manqueront pas de vous émouvoir !
À présent qu'ils ont obtenu l'autorisation des parents de Yuki pour vivre ensemble, le couple se lance à la recherche d'un logement. Alors que la fin des études d'Istuomi et son voyage à l'étranger approchent, l'étudiante prend conscience de la profondeur de ses sentiments pour lui. Comment va évoluer leur relation ?",978-2385313494,https://m.media-amazon.com/images/I/71d9KsxFWhL._SY522_.jpg,Akata; Illustrated édition (7 mai 2024),Suu Morishita
La Nouvelle Cheffe de clan - tome 1,8.58,"Une jeune femme décide de changer son destin et devient cheffe de famille.
Firentia fait partie des héritiers de la prestigieuse famille Lombardie. Après la mort de ses deux seuls soutiens, son père et son grand-père, ses cousins la persécutent et réduisent leur héritage à néant. Firentia meurt de façon tragique avant d'avoir pu sauver la famille de la faillite.
Mais le destin est de son côté et la jeune femme se réincarne dans son corps d'enfant. Firentia décide alors de changer son destin et de prendre le contrôle de la famille de Lombardie...",978-2494102361,https://m.media-amazon.com/images/I/71ghjrOl+8L._SY522_.jpg,Kotoon; Illustrated édition (16 mai 2024),Roah Kim
The RUNWAY - Tome 8 (Webtoon),8.95,"Les problèmes de couple trouveront-ils une issue ? Les tensions montent entre amour non réciproque, respect de la hiérarchie et soucis familiaux.
Si d'un côté, les relations ont l'air de s'arranger entre Jinkyeong et Haebeom, le comportement de Hyeonmin surprend Jian. Mais tout ce petit monde devra unir ses forces et faire face à la maladie de la mère de famille.
Sur Webtoon, la série cumule plus de 40 millions de lectures, pour un total de 450 000 lecteurs fidèles, en faisant un "" best reader "" de la plateforme.",978-2492989698,https://m.media-amazon.com/images/I/616gaeRalbL._SY522_.jpg,Kworld; Illustrated édition (30 mai 2024),Hirachell
Sailor Moon T01,7.2,"Usagi est une jeune fille de 14 ans comme tant d'autres : elle aime dormir, jouer aux jeux vidéo, elle pleure pour un oui ou pour un non et elle ne se passionne pas pour ses études. Mais un beau jour, elle croise le chemin de Luna, un chat doué de parole qui va la transformer en une jolie justicière : Sailor Moon ! La voilà investie de plusieurs missions : elle doit identifier ses alliées, retrouver le légendaire Cristal d'Argent et protéger une certaine princesse… tout en luttant contre de mystérieux ennemis qui sont eux aussi à la recherche du fabuleux cristal aux pouvoirs fantastiques !",978-2811607135,https://m.media-amazon.com/images/I/81DPxg8WIjL._SY522_.jpg,Pika (27 juin 2012),Naoko Takeuchi
Horimiya T15,16.38,"Y aurait-il un rapprochement entre le mystérieux M. Nakamine et Yuki ?! De quoi perturber Tôru, mais aussi M. Yasuda ! La Saint-Valentin approche à grands pas, avec son lot de doutes et de questions. La bande au complet vous fera fondre dans ce tome aussi drôle qu'attendrissant !",978-2384960989,https://m.media-amazon.com/images/I/71-IqwyQOCL._SY522_.jpg,Nobi Nobi; Illustrated édition (20 mars 2024),HERO
"Yuzu, La petite vétérinaire T01",6.21,"La clinique vétérinaire Miawouf a une nouvelle assistante !
Suite à l’hospitalisation de sa mère, la petite Yuzu va devoir vivre un moment avec son oncle qui travaille comme vétérinaire. Seul problème : la jeune fille n’est pas très à l’aise avec les animaux ! Cependant, au fil des rencontres avec ses nouveaux patients, Yuzu va se découvrir un talent pour comprendre le cœur de ces petites bêtes, et apprendre également beaucoup à leur contact...
Poussez la porte de la clinique vétérinaire Miawouf et venez rencontrer ses adorables patients !",978-2373493115,https://m.media-amazon.com/images/I/81Lsla4nylL._SY522_.jpg,Nobi Nobi; Illustrated édition (13 octobre 2021),Mingo Itô
